wave_peak	wave_base	wave_top	note
507.6264	507.6215	507.6295	Fe 1
507.974	507.947	507.987	Fe 1
508.3338	508.312	508.359	Fe 1
508.7058	508.686	508.724	Ti 1
509.0773	509.051	509.111	Fe 1
509.9077	509.89	509.92	Fe 1
509.9316	509.92	509.943	Ni 1
509.993	509.966	510.037	Ni 1
510.0655	510.037	510.077	Fe 2
510.403	510.386	510.412	Fe 1
511.5392	511.479	511.56	Ni 1
512.0415	512.016	512.057	Ti 1
512.346	512.338	512.354	Cr 1
512.4619	512.429	512.482	Fe 1
512.7359	512.709	512.756	Fe 1
513.0359	513.004	513.051	Ni 1
513.2661	513.247	513.288	Fe 2
513.6795	513.657	513.688	Fe 2
521.9701	521.941	521.991	Ti 1
522.029	522.016	522.056	Ni 1
522.2395	522.204	522.254	Fe 1
522.362	522.339	522.379	Ti 1
522.454	522.444	522.473	Ti 1
522.5526	522.529	522.571	Fe 1
522.6538	522.63	522.668	Ti 2
523.0691	523.052	523.085	Fe 1
523.4623	523.435	523.49	Fe 2
524.2491	524.225	524.293	Fe 1
524.3776	524.357	524.413	Fe 1
524.6768	524.661	524.688	Cr 2
524.7565	524.737	524.778	Cr 1
525.3021	525.28	525.32	Fe 1
525.3462	525.32	525.376	Fe 1
525.6932	525.645	525.722	Fe 2
525.7655	525.741	525.805	Fe 1
526.0387	526.013	526.056	Ca 1
526.4802	526.458	526.499	Fe 2
526.5148	526.499	526.532	Cr 1
526.7269	526.7184	526.752	Fe 1
526.8608	526.848	526.8635	Ti 2
528.4103	528.393	528.429	Fe 2
528.4425	528.429	528.453	Fe 1
529.5776	529.555	529.595	Ti 1
529.6691	529.627	529.701	Cr 1
529.8776	529.865	529.916	Fe 1
530.23	530.197	530.305	Fe 1
531.0686	531.055	531.089	Cr 2
531.2856	531.271	531.306	Cr 1
531.7525	531.73	531.782	Fe 1
531.8771	531.856	531.892	Cr 1
531.9035	531.892	531.913	Fe 1
532.0036	531.991	532.026	Fe 1
532.4179	532.305	532.512	Fe 1
532.5552	532.538	532.58	Fe 2
532.7252	532.705	532.737	Fe 1
532.9138	532.89	532.951	Cr 1
532.9784	532.951	532.986	Cr 1
532.9989	532.986	533.026	Fe 1
533.6786	533.641	533.719	Ti 2
533.9929	533.957	534.032	Fe 1
534.0447	534.032	534.048	Cr 1
534.8314	534.79	534.862	Cr 1
534.9465	534.919	534.962	Ca 1
538.6333	538.608	538.664	Fe 1
538.6968	538.664	538.719	Cr 1
538.9479	538.924	538.972	Fe 1
539.2331	539.217	539.255	Ni 1
539.8279	539.791	539.862	Fe 1
541.2784	541.242	541.295	Fe 1
541.407	541.387	541.436	Fe 2
542.4645	542.442	542.499	Ni 1
542.5249	542.499	542.556	Fe 2
542.9137	542.897	542.925	Ti 1
543.2948	543.274	543.324	Fe 1
544.6916	544.672	544.7075	Fe 1
546.6396	546.608	546.669	Fe 1
546.6987	546.669	546.723	Fe 1
547.2709	547.239	547.296	Fe 1
547.3163	547.296	547.332	Fe 1
547.39	547.356	547.3988	Fe 1
548.1243	548.106	548.134	Fe 1
548.3099	548.283	548.323	Fe 1
548.7145	548.7067	548.7177	Fe 1
549.0148	548.999	549.047	Ti 1
549.1832	549.15	549.203	Fe 1
550.3895	550.368	550.402	Ti 1
550.4088	550.402	550.425	Ni 1
550.6779	550.629	550.738	Fe 1
553.8516	553.827	553.882	Fe 1
553.928	553.882	553.962	Fe 1
554.699	554.68	554.724	Fe 1
554.9949	554.981	555.039	Fe 1
556.9618	556.904	557.021	Fe 1
557.2842	557.2625	557.304	Fe 1
557.3102	557.304	557.341	Fe 1
557.6089	557.537	557.671	Fe 1
558.6756	558.634	558.736	Fe 1
558.7858	558.771	558.832	Ni 1
558.8749	558.832	558.916	Ca 1
561.4773	561.452	561.499	Ni 1
561.8632	561.826	561.901	Fe 1
562.4542	562.425	562.508	Fe 1
562.8642	562.85	562.886	Cr 1
563.6696	563.669	563.6761	Fe 1
563.8262	563.792	563.856	Fe 1
564.1881	564.168	564.215	Ni 1
564.5613	564.523	564.579	Si 1
564.9699	564.948	564.984	Ni 1
565.5493	565.533	565.663	Fe 1
566.1345	566.115	566.165	Fe 1
566.2516	566.23	566.275	Fe 1
566.9736	566.929	566.985	Si 1
566.9943	566.985	567.035	Ni 1
568.2199	568.164	568.238	Ni 1
568.4484	568.433	568.507	Si 1
568.946	568.925	568.966	Ti 1
569.0425	569.016	569.08	Si 1
569.474	569.446	569.484	Cr 1
570.1104	570.07	570.131	Si 1
570.1544	570.131	570.181	Fe 1
570.7049	570.683	570.753	Fe 1
570.84	570.822	570.873	Si 1
571.2131	571.202	571.247	Fe 1
574.8351	574.816	574.865	Ni 1
575.3122	575.257	575.337	Fe 1
577.5081	577.477	577.553	Fe 1
577.8453	577.807	577.869	Fe 1
578.0384	577.987	578.047	Si 1
578.1751	578.147	578.19	Cr 1
578.385	578.356	578.421	Cr 1
578.4658	578.421	578.482	Fe 1
578.4969	578.482	578.512	Cr 1
579.3073	579.248	579.345	Si 1
579.3915	579.345	579.421	Fe 1
579.8171	579.802	579.885	Fe 1
580.4034	580.378	580.417	Fe 1
580.4259	580.417	580.434	Ti 1
580.5217	580.491	580.551	Ni 1
581.1914	581.172	581.224	Fe 1
583.1596	583.133	583.213	Ni 1
583.7701	583.732	583.789	Fe 1
583.8372	583.821	583.857	Fe 1
584.6993	584.67	584.742	Ni 1
585.5076	585.483	585.549	Fe 1
585.9586	585.934	586.044	Fe 1
586.6451	586.6365	586.682	Ti 1
586.7562	586.73	586.787	Ca 1
587.7788	587.754	587.791	Fe 1
588.0027	587.966	588.017	Fe 1
588.128	588.077	588.151	Fe 1
588.3817	588.3662	588.425	Fe 1
590.2473	590.195	590.288	Fe 1
590.5671	590.512	590.611	Fe 1
592.211	592.191	592.2125	Ti 1
593.018	592.99	593.054	Fe 1
593.4654	593.436	593.4695	Fe 1
594.9346	594.905	594.965	Fe 1
595.2718	595.2618	595.2802	Fe 1
597.6439	597.626	597.656	Fe 1
597.8541	597.824	597.876	Ti 1
598.7065	598.668	598.767	Fe 1
600.796	600.753	600.824	Fe 1
602.7051	602.661	602.718	Fe 1
606.5482	606.499	606.609	Fe 1
608.5258	608.48	608.56	Fe 1
608.6282	608.581	608.655	Ni 1
609.1171	609.069	609.147	Ti 1
609.6664	609.636	609.694	Fe 1
610.0271	609.992	610.052	Fe 1
612.5021	612.463	612.571	Si 1
612.7906	612.762	612.861	Fe 1
613.1852	613.172	613.219	Si 1
613.6615	613.604	613.684	Fe 1
613.6994	613.684	613.704	Fe 1
614.5016	614.456	614.528	Si 1
615.1617	615.131	615.202	Fe 1
615.7728	615.749	615.803	Fe 1
618.6711	618.646	618.702	Ni 1
618.7989	618.76	618.842	Fe 1
620.46	620.426	620.495	Ni 1
621.928	621.878	621.975	Fe 1
622.3981	622.368	622.432	Ni 1
622.6734	622.646	622.718	Fe 1
623.0722	623.032	623.128	Fe 1
623.264	623.223	623.301	Fe 1
624.0646	624.045	624.095	Fe 1
624.3815	624.346	624.407	Si 1
624.6318	624.587	624.695	Fe 1
624.7557	624.695	624.815	Fe 2
625.2555	625.211	625.308	Fe 1
625.9595	625.92	626.041	Ni 1
626.5132	626.455	626.5277	Fe 1
627.1278	627.092	627.161	Fe 1
630.15	630.092	630.196	Fe 1
631.5811	631.561	631.624	Fe 1
632.2166	632.173	632.24	Ni 1
633.6823	633.634	633.756	Fe 1
633.9112	633.9	633.963	Ni 1
636.0811	636.021	636.104	Ni 1
636.6481	636.613	636.692	Ni 1
636.9459	636.9445	636.974	Fe 2
637.8247	637.792	637.857	Ni 1
640.7291	640.674	640.758	Si 1
640.8017	640.758	640.852	Fe 1
641.1648	641.126	641.19	Fe 1
641.4581	641.434	641.475	Ni 1
641.9949	641.97	642.059	Fe 1
642.4851	642.457	642.527	Ni 1
643.0845	643.075	643.137	Fe 1
643.2676	643.235	643.297	Fe 2
645.5598	645.53	645.606	Ca 1
646.9192	646.871	646.945	Fe 1
649.1566	649.133	649.201	Ti 2
649.498	649.47	649.545	Fe 1
649.6466	649.623	649.668	Fe 1
649.8938	649.863	649.933	Fe 1
660.8025	660.756	660.86	Fe 1
660.911	660.86	660.939	Fe 1
666.1075	666.073	666.124	Cr 1
666.3441	666.265	666.408	Fe 1
666.771	666.756	666.805	Fe 1
667.7985	667.737	667.848	Fe 1
672.1848	672.111	672.235	Si 1
675.2707	675.22	675.316	Fe 1
679.3258	679.267	679.344	Fe 1
